df;n
 rock;5118248
 pop;3744992
 country;1702532
 soul;1394845
 mellow gold;827129
 folk;721332
 rap;699592
 adult standards;638622
 motown;494229
 hip hop;448322
 quiet storm;391954
 funk;373657
 disco;239916
 urban contemporary;216193
 r&b;211561
 lounge;183065
 jazz;177084
 metal;173132
" 
adult standards";152452
 easy listening;127396
 merseybeat;116124
 singer-songwriter;106400
 rhythm and blues;99902
 punk;84963
 new jack swing;83966
 permanent wave;83550
 doo-wop;81597
 indie;80537
 british invasion;80031
 new romantic;75631
 new wave;71292
 grunge;64729
 hollywood;64147
 neo mellow;60855
 post-disco;52403
 ;45153
 disco;41922
 latin;37425
 glee club;36633
 r&b;36057
 lounge;33415
 british invasion;31672
 boy band;31171
 nashville sound;29163
 girl group;28067
 classic girl group;27074
 hi-nrg;24390
 lilith;23067
 electro;22452
 redneck;22031
 electric blues;20381
 singer-songwriter;19930
 talent show;19443
 stomp and holler;17767
 mellow gold;17748
 piano blues;17451
 emo;16149
 mellow gold;14986
 swing;14380
 new americana;14277
 deep adult standards;12983
 neo mellow;12887
 minneapolis sound;12770
 new orleans blues;12568
 canadian singer-songwriter;12405
 louisiana blues;12330
 tropical;11552
 canadian contemporary r&b;11351
 blues;11236
 comic;10409
 permanent wave;10406
 reggaeton;10260
 nashville sound;9832
 australian dance;9822
 rhythm and blues;9201
 beach music;8591
 freestyle;7987
 bachata;7790
 motown;7418
 edm;6984
 deep adult standards;6715
 freestyle;6680
 british blues;6505
" 
disco";6363
 traditional blues;6144
 adult standards;5988
 hip house;5926
 merseybeat;5747
 vocal harmony group;5518
 nwobhm;5310
 alternative r&b;5204
 quiet storm;5186
 torch song;5005
 eurodance;4890
 motown;4653
" 
boy band";4566
" 
british invasion";4520
 disco house;4286
 novelty;4146
 yodeling;4064
 christmas instrumental;4027
 house;3898
 surf music;3863
 doo-wop;3792
 NA;3790
" 
glee club";3668
 disco;3225
 old school thrash;3167
 uk dance;3079
 tropical house;3041
 diva house;3014
 orchestral performance;2992
 vocal house;2982
 escape room;2974
 hip house;2853
 bubblegum dance;2827
 nashville sound;2720
 classical performance;2692
 a cappella;2637
 deep house;2559
 uk americana;2546
 post-disco;2477
 tropical house;2465
 deep adult standards;2438
 new jack swing;2430
 zolo;2420
 old-time;2406
 cowboy western;2325
 alternative dance;2246
" 
blues";2229
 deep groove house;2150
" 
beach music";2133
 quiet storm;2080
 new rave;2058
 scottish singer-songwriter;2055
 comic;2053
 cosmic american;1916
 pixie;1819
 parody;1817
 new england americana;1805
 doo-wop;1801
 boy band;1775
 movie tunes;1642
 christian music;1620
 easy listening;1581
 rhythm and blues;1563
 disco house;1548
 nashville sound;1547
 german techno;1543
 girl group;1529
 crunk;1469
 deep new americana;1442
" 
canadian contemporary r&b";1425
 talent show;1369
 freakbeat;1340
" 
neo mellow";1316
 native american;1302
 freestyle;1279
 stomp and holler;1277
" 
freestyle";1228
 classic girl group;1225
" 
mellow gold";1224
 melancholia;1222
 rhythm and blues;1219
 jump blues;1215
 dancehall;1210
 cowboy western;1201
 smooth saxophone;1145
 big room;1140
 jam band;1110
 australian dance;1097
 new jack swing;1053
 torch song;1015
" 
bachata";973
 uk reggae;954
 compositional ambient;952
 focus;952
 neo-classical;946
 new age piano;946
 reggae fusion;921
